2018-03-12 14:44:02,058 : INFO : Ficha
2018-03-12 14:44:02,131 : DEBUG : 3760
2018-03-12 14:44:25,263 : INFO : Ficha
2018-03-12 14:44:25,266 : DEBUG : 3760
2018-03-12 14:48:40,249 : INFO : Ficha
2018-03-12 14:48:40,250 : DEBUG : 3760
2018-03-12 14:52:30,253 : INFO : Ficha
2018-03-12 14:52:30,253 : DEBUG : 3760
2018-03-12 20:46:23,844 : INFO : Ficha
2018-03-12 20:46:23,983 : DEBUG : 3760
2018-03-12 20:48:36,046 : INFO : Ficha
2018-03-12 20:48:36,046 : DEBUG : 3760
2018-03-12 20:52:59,983 : INFO : Ficha
2018-03-12 20:52:59,983 : DEBUG : 3760
2018-03-12 20:54:30,743 : INFO : Ficha
2018-03-12 20:54:30,743 : DEBUG : 3760
2018-03-12 20:55:19,171 : INFO : Ficha
2018-03-12 20:55:19,186 : DEBUG : 3760
2018-03-12 22:11:24,066 : INFO : Ficha
2018-03-12 22:11:24,140 : DEBUG : 3760
2018-03-12 22:11:55,542 : INFO : Ficha
2018-03-12 22:11:55,546 : DEBUG : 3760
2018-03-12 22:13:40,753 : INFO : Ficha
2018-03-12 22:13:40,756 : DEBUG : 3760
2018-03-12 22:18:34,243 : INFO : Ficha
2018-03-12 22:18:34,243 : DEBUG : 3760
2018-03-12 22:20:14,446 : INFO : Ficha
2018-03-12 22:20:14,446 : DEBUG : 3760
2018-03-12 22:33:27,026 : INFO : Ficha
2018-03-12 22:33:27,032 : DEBUG : 3760
2018-03-12 22:34:33,595 : DEBUG : listar pelis
2018-03-12 22:34:47,480 : INFO : Ficha
2018-03-12 22:34:47,482 : DEBUG : 3760
2018-03-12 22:35:21,908 : INFO : Ficha
2018-03-12 22:35:21,913 : DEBUG : 3760
2018-03-13 23:22:04,328 : INFO : Ficha
2018-03-13 23:22:04,492 : DEBUG : 3760
2018-03-13 23:23:04,431 : INFO : Ficha
2018-03-13 23:23:04,434 : DEBUG : 3760
2018-03-13 23:25:03,316 : INFO : Ficha
2018-03-13 23:25:03,345 : DEBUG : 836
